id,firstName,lastName,department,tierLevel,imageRef,username,email,password
0,test,test,,,,test,test,test
1,Kobe,Bryant,accounting,4,profilePics/kobe.bryant.png,kobe.bryant,kobe.bryant@gmail.com,1234
2,Michael,Jordan,accounting,1,profilePics/michael.jordan.png,michael.jordan,michael.jordan@gmail.com,1234
3,Miley,Cyrus,accounting,4,profilePics/miley.cyrus.png,miley.cyrus,miley.cyrus@gmail.com,1234
4,Nelson,Mandela,accounting,4,,nelson.mandela,nelson.mandela@gmail.com,1234
5,Christopher,Columbus,accounting,3,,christopher.columbus,christopher.columbus@gmail.com,1234
6,Katy,Perry,accounting,3,,katy.perry,katy.perry@gmail.com,1234
7,Daffy,Duck,accounting,2,,daffy.duck,daffy.duck@gmail.com,1234
8,Johnny,Depp,accounting,1,,johnny.depp,johnny.depp@gmail.com,1234
9,Daniel,Radcliffe,accounting,2,,daniel.radcliffe,daniel.radcliffe@gmail.com,1234
10,David,Beckham,accounting,3,,david.beckham,david.beckham@gmail.com,1234
11,Marshall,Mathers III,accounting,4,,marshall.mathers iii,marshall.mathers iii@gmail.com,1234
12,Kevin,Spacey,accounting,1,,kevin.spacey,kevin.spacey@gmail.com,1234
13,Serena,Williams,accounting,3,,serena.williams,serena.williams@gmail.com,1234
14,Herbert,Wright,accounting,1,,herbert.wright,herbert.wright@gmail.com,1234
15,Dave,Chapelle,accounting,2,,dave.chapelle,dave.chapelle@gmail.com,1234
16,Michael,Scott,accounting,4,,michael.scott,michael.scott@gmail.com,1234
17,Theodor,Geisel,accounting,3,,theodor.geisel,theodor.geisel@gmail.com,1234
18,Steve,Jobs,accounting,4,,steve.jobs,steve.jobs@gmail.com,1234
19,Kyler,Murray,accounting,3,,kyler.murray,kyler.murray@gmail.com,1234
20,John,Kennedy,accounting,2,,john.kennedy,john.kennedy@gmail.com,1234
21,Whoopi,Goldberg,accounting,4,,whoopi.goldberg,whoopi.goldberg@gmail.com,1234
22,Kevin,Hart,accounting,2,,kevin.hart,kevin.hart@gmail.com,1234
23,Andre,White,accounting,1,,andre.white,andre.white@gmail.com,1234
24,Napoleon,Dynamite,accounting,4,,napoleon.dynamite,napoleon.dynamite@gmail.com,1234
25,Napoleon,Bonaparte,accounting,2,,napoleon.bonaparte,napoleon.bonaparte@gmail.com,1234
26,Lebron,James,development,2,,lebron.james,lebron.james@gmail.com,1234
27,Barrack,Obama,development,2,,barrack.obama,barrack.obama@gmail.com,1234
28,Kim,Kardashian,development,2,,kim.kardashian,kim.kardashian@gmail.com,1234
29,Mahatma,Ghandi,development,1,,mahatma.ghandi,mahatma.ghandi@gmail.com,1234
30,Donald,Duck,development,3,,donald.duck,donald.duck@gmail.com,1234
31,Brittney,Spears,development,3,,brittney.spears,brittney.spears@gmail.com,1234
32,Paris,Hilton,development,1,,paris.hilton,paris.hilton@gmail.com,1234
33,Hugh,Jackman,development,2,,hugh.jackman,hugh.jackman@gmail.com,1234
